# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
hyundai,Hyundai Bayon 1.0 T-GDI Modern,40000.0,5,Schaltwagen,1498.0,Benzin,Słupca,Wielkopolskie,2022,2
hyundai,Hyundai i40 i40cw 1.7 CRDi Premium,47900.0,63000,Schaltwagen,1396.0,Benzin,Łask,Łódzkie,2014,10
opel,Opel Insignia,27900.0,227000,Schaltwagen,1956.0,Diesel,Puławy,Lubelskie,2012,12
volkswagen,Volkswagen Touareg,43900.0,212000,Automatik,2967.0,Diesel,Człuchów,Pomorskie,2008,16
ford,Ford Focus 2.3 EcoBoost RS,193999.0,195000,Schaltwagen,1997.0,Diesel,Kraków,Małopolskie,2017,7
renault,Renault Megane,32500.0,223000,Schaltwagen,1461.0,Diesel,Giżycko,Warmińsko-mazurskie,2011,13
nissan,Nissan Altima,8700.0,209000,Automatik,1995.0,Diesel,Urzecze,Łódzkie,2007,17
volvo,Volvo C30 2.0D,14500.0,229800,Schaltwagen,2521.0,Benzin,Chełm,Lubelskie,2009,15
skoda,Skoda Octavia 2.0 TDI Ambition,89000.0,65000,Schaltwagen,1968.0,Diesel,Bodzanów,Małopolskie,2021,3
volkswagen,Volkswagen Tiguan,43500.0,190000,Schaltwagen,1197.0,Benzin,Liszki,Małopolskie,2010,14
mercedes-benz,Mercedes-Benz GLK 350 4Matic 7G-TRONIC,55000.0,176300,Automatik,2987.0,Diesel,Brzegi,Świętokrzyskie,2014,10
ford,Ford Mondeo 2.0 TDCi Titanium,58900.0,66087,Schaltwagen,1499.0,Benzin,Olsztyn,Warmińsko-mazurskie,2019,5
volkswagen,Volkswagen Beetle,47700.0,183000,Schaltwagen,1197.0,Benzin,Łódź,Łódzkie,2010,14
bmw,BMW Seria 7,244900.0,235000,Automatik,1995.0,Diesel,Bydgoszcz,Kujawsko-pomorskie,2018,6
volkswagen,Volkswagen CC 2.0 TDI DPF BMT DSG,69000.0,226358,Automatik,1968.0,Diesel,Ryki,Lubelskie,2012,12
opel,Opel Astra III 1.7 CDTI Enjoy,12999.0,240000,Schaltwagen,1798.0,Benzin,Braniewo,Warmińsko-mazurskie,2011,13
toyota,Toyota Avensis 1.8 Premium,30500.0,241000,Schaltwagen,2231.0,Diesel,Ruszów,Dolnośląskie,2011,13
seat,Seat Leon 1.2 TSI Reference,41200.0,143000,Schaltwagen,1984.0,Benzin,Warszawa,Mazowieckie,2016,8
volvo,Volvo V70,14900.0,212500,Schaltwagen,2461.0,Diesel,Zamość,Lubelskie,2000,24
volkswagen,Volkswagen Transporter,10999.0,286000,Automatik,1900.0,Diesel,Ropczyce,Podkarpackie,1999,25
bmw,BMW 3GT,103000.0,175100,Automatik,1995.0,Diesel,Łódź,Łódzkie,2017,7
peugeot,Peugeot Partner,26900.0,162000,Schaltwagen,1360.0,Benzin,Płock,Mazowieckie,2009,15
volvo,Volvo S60 2.4 D5,2300.0,249409,Schaltwagen,1948.0,Benzin,Szczecinek,Zachodniopomorskie,2000,24
mitsubishi,Mitsubishi Diamante,4500.0,186000,Automatik,3200.0,Diesel,Dawia,Mazowieckie,2001,23
toyota,Toyota Corolla,105000.0,69921,Automatik,2487.0,hybrid,Mierzyn,Zachodniopomorskie,2019,5
opel,Opel Mokka 1.4 T Enjoy,49900.0,240900,Automatik,1956.0,Diesel,Mierzyn,Zachodniopomorskie,2017,7
peugeot,Peugeot 208 Blue-HDi 100 Stop&Start Active,25900.0,111384,Schaltwagen,1499.0,Diesel,Międzyrzecz,Lubuskie,2019,5
mercedes-benz,Mercedes-Benz Klasa S 320 L,19999.0,253300,Automatik,1998.0,Benzin,Mysłowice,Śląskie,1997,27
volkswagen,Volkswagen Polo R WRC,79999.0,262529,Schaltwagen,1968.0,Diesel,Świętoszówka,Śląskie,2010,14
opel,Opel Vivaro,62500.0,238000,Schaltwagen,1956.0,Diesel,Nowy Sącz,Małopolskie,2015,9
bmw,BMW X6M,765100.0,51200,Automatik,1998.0,Benzin,Katowice,Śląskie,2021,3
kia,Kia XCeed 1.5 T-GDI M,93999.0,10,Schaltwagen,1482.0,Benzin,Rumia,Pomorskie,2023,1
kia,Kia Venga,58000.0,87000,Schaltwagen,1685.0,Diesel,Skierniewice,Łódzkie,2017,7
jeep,Jeep Grand Cherokee Gr 3.0 CRD Limited,33700.0,250000,Automatik,3778.0,Benzin,Żuromin,Mazowieckie,2008,16
renault,Renault Captur,49500.0,54956,Automatik,1149.0,Benzin,Nowy Sącz,Małopolskie,2010,14
opel,Opel Meriva,26000.0,172000,Schaltwagen,1364.0,Benzin,Kraków,Małopolskie,2013,11
bmw,BMW X6,164000.0,48007,Automatik,4395.0,Benzin,Słupsk,Pomorskie,2017,7
honda,Honda Civic,24000.0,318000,Schaltwagen,1590.0,Benzin,Piaseczno,Mazowieckie,2005,19
hyundai,Hyundai I30,112000.0,271,Schaltwagen,1197.0,Benzin,Łódź,Łódzkie,2022,2
honda,Honda Accord,11500.0,15150,Schaltwagen,2157.0,Benzin,Ozimek,Opolskie,1999,25
renault,Renault Twingo 1.2 LEV 16V 75 Yahoo,10900.0,188859,Schaltwagen,1149.0,Benzin,Warszawa,Mazowieckie,2011,13
opel,Opel Insignia,22000.0,140000,Schaltwagen,1686.0,Diesel,Paniówki,Śląskie,2008,16
skoda,Skoda Superb,28900.0,359045,Automatik,1896.0,Diesel,Wejherowo,Pomorskie,2008,16
opel,Opel Corsa 1.4 Active,30900.0,237000,Schaltwagen,1598.0,Diesel,Łódź,Łódzkie,2015,9
lancia,Lancia Delta 1.4 T-Jet Silver,31500.0,154000,Schaltwagen,1368.0,Benzin+LPG,Rzeszów,Podkarpackie,2012,12
renault,Renault Fluence,34000.0,95000,Schaltwagen,1598.0,Diesel,Lublin,Lubelskie,2015,9
audi,Audi A3 1.6 TDI,75500.0,236500,Schaltwagen,1968.0,Diesel,Elbląg,Warmińsko-mazurskie,2016,8
toyota,Toyota Verso 1.6 D-4D 5-Sitzer Start/Stop Edition-S,48900.0,48321,Schaltwagen,1496.0,Benzin,Radom,Mazowieckie,2019,5
hyundai,Hyundai I30 1.5 DPI Modern,74900.0,10,Schaltwagen,1598.0,Benzin,Gdynia,Pomorskie,2023,1
ford,Ford Mustang,7000.0,282000,Automatik,4011.0,Benzin,Warszawa,Mazowieckie,1999,25
volkswagen,Volkswagen Passat 1.4 TSI BMT ACT Comfortline,59900.0,108229,Schaltwagen,1968.0,Diesel,Lublin,Lubelskie,2017,7
peugeot,Peugeot 106 1.4 Classic,11900.0,74000,Automatik,1361.0,Benzin,Poręba,Śląskie,1998,26
mercedes-benz,Mercedes-Benz Klasa A 180 AMG Line 7G-DCT,156700.0,39500,Automatik,3982.0,Benzin,Kielce,Świętokrzyskie,2020,4
toyota,Toyota Proace Verso 2.0 D4-D Long VIP,199900.0,31000,Automatik,1986.0,hybrid,Łodygowice,Śląskie,2021,3
toyota,Toyota Auris 1.6 VVT-i Executive,36900.0,346000,Schaltwagen,1998.0,Diesel,Oborniki Śląskie,Dolnośląskie,2014,10
ford,Ford S-Max 2.0 Ambiente,33800.0,229000,Schaltwagen,1999.0,Benzin,Radom,Mazowieckie,2011,13
lancia,Lancia Kappa 2.0 Turbo LS,10000.0,158000,Schaltwagen,1998.0,Benzin,Warszawa,Mazowieckie,1999,25
renault,Renault Clio 1.5 dCi Business,12500.0,219000,Schaltwagen,2000.0,Diesel,Ostrów Wielkopolski,Wielkopolskie,2013,11
porsche,Porsche 911,140000.0,57000,Automatik,3387.0,Benzin,Warszawa,Mazowieckie,1998,26
peugeot,Peugeot 308,30308.0,116911,Schaltwagen,1560.0,Diesel,Zelów,Łódzkie,2017,7
peugeot,Peugeot 3008 1.2 PureTech Style,48500.0,209151,Schaltwagen,1560.0,Diesel,Tarnów,Małopolskie,2015,9
opel,Opel Astra,31500.0,106000,Automatik,,Benzin,Koszalin,Zachodniopomorskie,2016,8
mercedes-benz,Mercedes-Benz Klasa S 320 CDI,39900.0,205000,Automatik,3498.0,Benzin,Ostrów Mazowiecka,Mazowieckie,2005,19
mercedes-benz,Mercedes-Benz Klasa C 220 d 9G-TRONIC Avantgarde,239900.0,18700,Automatik,1950.0,Diesel,Wrocław,Dolnośląskie,2022,2
honda,Honda Jazz,25900.0,218000,Schaltwagen,2204.0,Diesel,Olsztyn,Warmińsko-mazurskie,2010,14
opel,Opel Insignia 2.0 CDTI Executive S&S,39500.0,115000,Schaltwagen,1598.0,Diesel,Staszów,Świętokrzyskie,2017,7
bmw,BMW Seria 5 530e iPerformance,145000.0,148730,Automatik,1995.0,Diesel,Warszawa,Mazowieckie,2017,7
toyota,Toyota Corolla 1.5 Comfort MS,99900.0,5403,Automatik,1497.0,Benzin,Warszawa,Mazowieckie,2022,2
jeep,Jeep Compass 2.2 CRD 4x4 Limited,32900.0,190100,Schaltwagen,1956.0,Diesel,Jelenia Góra,Dolnośląskie,2014,10
mercedes-benz,Mercedes-Benz Klasa A,7000.0,235000,Automatik,5461.0,Benzin+LPG,Zbąszynek,Lubuskie,2007,17
volkswagen,Volkswagen Polo 1.2 12V Highline,27900.0,305500,Schaltwagen,1598.0,Diesel,Nowa Sławogóra,Mazowieckie,2010,14
bmw,BMW X5,159900.0,142000,Automatik,1995.0,Diesel,Warszawa,Mazowieckie,2015,9
volkswagen,Volkswagen Touran 1.6 TDI DPF BlueMotion Technology DSG Cup,39999.0,234220,Automatik,1984.0,Benzin,Ruda Śląska,Śląskie,2013,11
toyota,Toyota C-HR,92900.0,114200,Automatik,2487.0,hybrid,Czechowice-Dziedzice,Śląskie,2019,5
skoda,Skoda Superb 2.0 TDI Platinum DSG,26900.0,184000,Automatik,1390.0,Benzin,Starogard Gdański,Pomorskie,2007,17
bmw,BMW Seria 3,159900.0,184997,Automatik,1995.0,Diesel,Wrocław,Dolnośląskie,2016,8
renault,Renault Megane 1.5 dCi Dynamique,26999.0,184000,Schaltwagen,898.0,Benzin,Rzeszów,Podkarpackie,2013,11
volkswagen,Volkswagen Golf,53000.0,182000,Schaltwagen,1598.0,Diesel,Piaseczno,Mazowieckie,2018,6
kia,Kia Ceed Cee'd 1.6 T-GDI GT,68500.0,140000,Schaltwagen,1582.0,Diesel,Trzebnica,Dolnośląskie,2015,9
opel,Opel Combo,44900.0,197319,Schaltwagen,1398.0,Benzin+LPG,Jawornik,Małopolskie,2018,6
mercedes-benz,Mercedes-Benz Klasa E 320 CDI Avantgarde,36900.0,370000,Automatik,2987.0,Diesel,Ostrów Mazowiecka,Mazowieckie,2005,19
opel,Opel Corsa,12500.0,178000,Schaltwagen,1000.0,Benzin,Kalisz,Wielkopolskie,2007,17
bmw,BMW Seria 3 330i Luxury Line,119000.0,20000,Automatik,1995.0,Diesel,Hrubieszów,Lubelskie,2022,2
ford,Ford Focus 1.6 16V Titanium,19900.0,234000,Schaltwagen,1242.0,Benzin,Brzozów,Podkarpackie,2013,11
honda,Honda CR-V 2.0 Rvi 4WD,19900.0,125000,Schaltwagen,1997.0,Benzin,Wieliczka,Małopolskie,1998,26
mini,MINI Cooper S GPF sport,95900.0,54000,Automatik,1998.0,Benzin,Opatówek,Wielkopolskie,2019,5
kia,Kia Sportage,76000.0,167000,Schaltwagen,1396.0,Benzin,Siedlce,Mazowieckie,2015,9
volkswagen,Volkswagen Passat 2.0 TDI SCR Comfortline,59900.0,124000,Schaltwagen,1498.0,Benzin,Szczecin,Zachodniopomorskie,2018,6
bmw,BMW Seria 2 230i M Sport,244350.0,1,Automatik,1998.0,Benzin,Częstochowa,Śląskie,2023,1
ford,Ford Focus,76900.0,46384,Schaltwagen,1499.0,Diesel,Radziejowice,Mazowieckie,2019,5
mercedes-benz,Mercedes-Benz GLA 250 4-Matic AMG Line,124900.0,66758,Automatik,1332.0,Benzin,Warszawa,Mazowieckie,2019,5
peugeot,Peugeot 3008,19999.0,167000,Schaltwagen,998.0,Benzin,Strobice,Opolskie,2007,17
ford,Ford Focus 1.6 TDCi Style,12000.0,148000,Schaltwagen,1798.0,Benzin,Choroszcz,Podlaskie,2010,14
kia,Kia XCeed 1.5 T-GDI M,109100.0,25000,Schaltwagen,1482.0,Benzin,Starogard Gdański,Pomorskie,2022,2
volkswagen,Volkswagen Golf,19600.0,297000,Schaltwagen,1896.0,Diesel,Strzyżów,Podkarpackie,2008,16
ford,Ford Kuga 1.5 EcoBoost FWD Trend ASS,55400.0,281812,Schaltwagen,1560.0,Diesel,Żywocice,Opolskie,2015,9
toyota,Toyota Corolla 1.2 T Comfort,90500.0,74111,Schaltwagen,998.0,Benzin,Jasło,Podkarpackie,2019,5
volvo,Volvo V60 CC D4 Drive-E Momentum,68899.0,145000,Schaltwagen,1984.0,Diesel,Rybnik,Śląskie,2017,7
bmw,BMW X3 xDrive20d M Sport,149900.0,246850,Automatik,1995.0,Diesel,Bachowice,Małopolskie,2017,7
volkswagen,Volkswagen Golf,149900.0,80,Automatik,1968.0,Diesel,Wągrowiec,Wielkopolskie,2023,1
volkswagen,Volkswagen Passat,12900.0,175000,Schaltwagen,1198.0,Benzin,Świecie,Kujawsko-pomorskie,2009,15
renault,Renault Clio 0.9 Energy TCe Zen,49900.0,1,Schaltwagen,1332.0,Benzin,Warszawa,Mazowieckie,2023,1
bmw,BMW Seria 3,169900.0,42700,Automatik,1998.0,Benzin,Piaseczno,Mazowieckie,2021,3
ford,Ford Focus 1.6 TDCi Ambiente,30000.0,272000,Schaltwagen,1997.0,Diesel,Warszawa,Mazowieckie,2013,11
jeep,Jeep Patriot,24000.0,170000,Schaltwagen,3605.0,Benzin,Krosno Odrzańskie,Lubuskie,2012,12
opel,Opel Corsa 1.0 12V Enjoy,12900.0,224000,Schaltwagen,2405.0,Benzin,Wejherowo,Pomorskie,2009,15
opel,Opel Corsa 1.0 Ecotec Turbo ecoFLEX Start/Stop Active,38999.0,186000,Schaltwagen,,Benzin,Leszno,Wielkopolskie,2018,6
volkswagen,Volkswagen Touran,12900.0,270000,Schaltwagen,1595.0,Benzin+LPG,Łódź,Łódzkie,2003,21
bmw,BMW Seria 5,74900.0,199871,Automatik,1995.0,Diesel,Jaworznia,Świętokrzyskie,2018,6
renault,Renault Grand Scenic Gr 1.6 dCi Energy TomTom Edition,18500.0,172000,Schaltwagen,1461.0,Diesel,Zduny,Wielkopolskie,2013,11
chevrolet,Chevrolet S-10,7000.0,160000,Schaltwagen,5666.0,Benzin,Krzywizna,Opolskie,1996,28
citroen,Citroën C4 Grand Picasso 2.0 HDi Equilibre Exclusive,17900.0,255126,Automatik,1560.0,Diesel,Wejherowo,Pomorskie,2007,17
bmw,BMW Seria 5 530e iPerformance M Sport sport,139000.0,105885,Automatik,1499.0,Benzin,Częstochowa,Śląskie,2019,5
jaguar,Jaguar I-Pace,282900.0,5,Automatik,5000.0,Benzin,Katowice,Śląskie,2021,3
ford,Ford Tourneo Custom 2.0 TDCi L1 Titanium,110000.0,169000,Schaltwagen,1499.0,Diesel,Ścinawa,Dolnośląskie,2019,5
peugeot,Peugeot Partner Tepee 110 Family,48700.0,132223,Schaltwagen,1199.0,Benzin,Mielec,Podkarpackie,2015,9
volkswagen,Volkswagen Golf 1.6 TDI SCR Comfortline,51900.0,205000,Schaltwagen,1598.0,Diesel,Osiek,Małopolskie,2015,9
seat,Seat Altea XL,19900.0,285000,Automatik,1968.0,Diesel,Kiedrzyn,Mazowieckie,2007,17
opel,Opel Zafira Tourer 1.4 Turbo Selection,51555.0,50000,Schaltwagen,1956.0,Diesel,Przysucha,Mazowieckie,2018,6
peugeot,Peugeot 2008,30996.0,39546,Schaltwagen,1199.0,Benzin,Novy Jicin,Moravian-Silesian Region,2015,9
renault,Renault Clio 1.0 TCe Zen,64900.0,17600,Schaltwagen,999.0,Benzin,Starogard Gdański,Pomorskie,2022,2
mitsubishi,Mitsubishi ASX 1.6 Instyle NAVI AS&G,42900.0,100000,Schaltwagen,2268.0,Diesel,Smyków,Świętokrzyskie,2013,11
jaguar,Jaguar F-Pace 2.0 i4D RWD Pure,108900.0,33000,Automatik,1999.0,Diesel,Ząbki,Mazowieckie,2019,5
nissan,Nissan Qashqai+2 2.0 dCi Tekna,39999.0,222000,Schaltwagen,2488.0,Diesel,Limanowa,Małopolskie,2010,14
jeep,Jeep Cherokee,118900.0,49360,Automatik,3605.0,Benzin,Siedlce,Mazowieckie,2017,7
hyundai,Hyundai Kona 1.0 T-GDI Modern,93200.0,10,Schaltwagen,1482.0,Benzin,Bydgoszcz,Kujawsko-pomorskie,2022,2
audi,Audi A3 40 TFSI Quattro S tronic,86000.0,196000,Automatik,1400.0,hybrid,Tęgoborze,Małopolskie,2015,9
toyota,Toyota Verso 2.0 D-4D Sol,33000.0,235000,Schaltwagen,1798.0,Benzin,Jasienica,Śląskie,2011,13
peugeot,Peugeot 307 1.6 XT Premium Class,7500.0,207051,Automatik,1997.0,Benzin,Kraków,Małopolskie,2004,20
ford,Ford Kuga 2.0 TDCi 2x4 Titanium,57900.0,234700,Schaltwagen,1997.0,Diesel,Orzelec Duży,Świętokrzyskie,2015,9
skoda,Skoda Superb,9500.0,170000,Automatik,1968.0,Diesel,Mazańcowice,Śląskie,2009,15
mitsubishi,Mitsubishi Outlander,19900.0,155000,Schaltwagen,1968.0,Diesel,Lublin,Lubelskie,2007,17
opel,Opel Astra II 1.8 Comfort,9700.0,208000,Schaltwagen,1598.0,Benzin,Przysucha,Mazowieckie,2002,22
volkswagen,Volkswagen Golf VII 1.5 TSI BMT Evo Comfortline,66900.0,80596,Schaltwagen,2000.0,Diesel,Janki,Mazowieckie,2019,5
land-rover,Land Rover Defender 110 5.0 P525 V8 Carpathian Edition,839600.0,17294,Automatik,1999.0,Diesel,Długołęka,Dolnośląskie,2022,2
volkswagen,Volkswagen Passat 2.0 TDI Comfortline DSG,15500.0,190216,Automatik,1968.0,Diesel,Biała Podlaska,Lubelskie,2007,17
renault,Renault Megane,34000.0,75000,Schaltwagen,1749.0,Diesel,Warszawa,Mazowieckie,2018,6
peugeot,Peugeot 308 1.6 BlueHDi Access S&S,44900.0,160000,Schaltwagen,1560.0,Diesel,Siedlce,Mazowieckie,2015,9
honda,Honda Civic 1.5 T Executive,91900.0,124800,Schaltwagen,1597.0,Diesel,Kraków,Małopolskie,2016,8
kia,Kia Ceed Cee'd 1.6 Optimum +,18999.0,220000,Automatik,1991.0,Diesel,Tyczyn,Podkarpackie,2007,17
mercedes-benz,Mercedes-Benz Klasa A 170 Avantgarde,11900.0,192000,Schaltwagen,1796.0,Benzin,Stargard Szczeciński,Zachodniopomorskie,2004,20
bmw,BMW M8,738900.0,19,Automatik,4395.0,Benzin,Warszawa,Mazowieckie,2023,1
volkswagen,Volkswagen Touran 2.0 TDI DPF BlueMotion Technology Comfortline,44999.0,199890,Schaltwagen,1968.0,Diesel,Tychy,Śląskie,2014,10
renault,Renault Clio 1.0 TCe Intens,54900.0,10,Schaltwagen,999.0,Benzin+LPG,Leszno,Wielkopolskie,2022,2
toyota,Toyota Yaris,39990.0,167451,Automatik,2231.0,Diesel,Chodzież,Wielkopolskie,2012,12
opel,Opel Corsa 1.0 12V Essentia,9300.0,240000,Schaltwagen,1796.0,Benzin,Bolesławiec,Dolnośląskie,2005,19
bmw,BMW Seria 3 330i Sport Line,98000.0,6000,Automatik,1998.0,Benzin,Karczew,Mazowieckie,2022,2
peugeot,Peugeot 208,24000.0,214500,Schaltwagen,1997.0,Diesel,Działdowo,Warmińsko-mazurskie,2015,9
opel,Opel Astra,13900.0,108257,Schaltwagen,1910.0,Diesel,Kutno,Łódzkie,2006,18
volkswagen,Volkswagen Passat,43900.0,129000,Schaltwagen,1598.0,Diesel,Bychawa,Lubelskie,2016,8
porsche,Porsche Cayman GT4,600000.0,29362,Schaltwagen,3996.0,Benzin,Katowice,Śląskie,2019,5
volkswagen,Volkswagen Touran 2.0 FSI Highline,16900.0,126465,Schaltwagen,1896.0,Diesel,Warszawa,Mazowieckie,2008,16
volkswagen,Volkswagen Golf IV 1.9 TDI Highline,6500.0,45800,Automatik,1781.0,Benzin,Wieniec,Kujawsko-pomorskie,1997,27
mercedes-benz,Mercedes-Benz Klasa E 220 d 4-Matic 9G-TRONIC,148900.0,119000,Automatik,1595.0,Benzin,Janki,Mazowieckie,2015,9
kia,Kia Sportage 1.6 GDI M 2WD,93900.0,57000,Schaltwagen,1197.0,Benzin,Nadarzyn,Mazowieckie,2021,3
ford,Ford Puma 1.0 EcoBoost mHEV ST-Line,115000.0,10,Schaltwagen,1500.0,Benzin,Wrocław,Dolnośląskie,2022,2
dacia,Dacia Duster 1.2 TCe Laureate 4x4 S&S EU6,32900.0,82000,Schaltwagen,1461.0,Diesel,Ostrów Wielkopolski,Wielkopolskie,2016,8
alfa-romeo,Alfa Romeo 147 1.6 T.S 16V Corse,4700.0,152000,Schaltwagen,1598.0,Benzin,Bydgoszcz,Kujawsko-pomorskie,2001,23
renault,Renault Laguna 2.0 DCi Initiale,15900.0,213550,Automatik,1998.0,Benzin,Mrągowo,Warmińsko-mazurskie,2008,16
mini,MINI Cooper S Standard,31995.0,180000,Automatik,1598.0,Benzin,Bartkowo,Zachodniopomorskie,2007,17
fiat,Fiat Bravo 1.4 16V Dynamic,11800.0,140000,Schaltwagen,1368.0,Benzin,Rumia,Pomorskie,2006,18
seat,Seat Leon 1.5 TSI Style,85900.0,24000,Schaltwagen,1498.0,Benzin,Poznań,Wielkopolskie,2020,4
toyota,Toyota FJ Cruiser 4.0 4x4,185000.0,253000,Automatik,1798.0,hybrid,Koszalin,Zachodniopomorskie,2013,11
citroen,Citroën C3 1.6 Exclusive Senso Drive,8900.0,161000,Automatik,1587.0,Benzin,Kłodzko,Dolnośląskie,2002,22
ford,Ford EcoSport 1.0 EcoBoost GPF ST-Line ASS,71499.0,220000,Schaltwagen,1997.0,Diesel,Świebodzin,Lubuskie,2015,9
mazda,Mazda Tribute,18900.0,242000,Schaltwagen,1598.0,Benzin+LPG,Elbląg,Warmińsko-mazurskie,2004,20
volvo,Volvo C30 2.0D Momentum,12750.0,228999,Schaltwagen,2400.0,Diesel,Gryfice,Zachodniopomorskie,2009,15
honda,Honda Civic 1.6 VTi,29350.0,253000,Schaltwagen,1973.0,Benzin,Piaseczno,Mazowieckie,1999,25
toyota,Toyota C-HR,117850.0,92060,Automatik,1798.0,hybrid,Modlnica,Małopolskie,2020,4
volkswagen,Volkswagen Scirocco 1.4 TSI,32500.0,214000,Schaltwagen,1390.0,Benzin,Kraków,Małopolskie,2008,16
bmw,BMW Seria 5 520d Touring,125000.0,68000,Automatik,2993.0,Diesel,Kąty Goździejewskie I,Mazowieckie,2019,5
opel,Opel Mokka 1.2 T Edition S&S,94900.0,8500,Schaltwagen,1199.0,Benzin,Piekary Śląskie,Śląskie,2022,2
infiniti,Infiniti EX EX35 4WD,45000.0,114000,Automatik,3498.0,Benzin,Rybnik,Śląskie,2005,19
mercedes-benz,Mercedes-Benz CLA 200 7G-DCT AMG Line,85000.0,111662,Automatik,2143.0,Diesel,Poznań,Wielkopolskie,2018,6
seat,Seat Leon 2.0 TSI Cupra 280 S&S DSG,76260.0,81900,Automatik,1500.0,Benzin,Gdańsk,Pomorskie,2019,5
volvo,Volvo S60 T5 R-Design,132500.0,70000,Automatik,1969.0,Benzin,Rawicz,Wielkopolskie,2019,5
mercedes-benz,Mercedes-Benz GLE 300 d 4-Matic,273900.0,101000,Automatik,1991.0,Benzin,Włocławek,Kujawsko-pomorskie,2017,7
ford,Ford Kuga 2.0 TDCi 2x4 Individual,45500.0,124000,Schaltwagen,1242.0,Benzin,Lubań,Dolnośląskie,2010,14
ford,Ford Mondeo,23900.0,238000,Schaltwagen,1560.0,Diesel,Elbląg,Warmińsko-mazurskie,2012,12
opel,Opel Insignia,85900.0,14900,Schaltwagen,1199.0,Benzin,Suchy Las,Wielkopolskie,2022,2
opel,Opel Astra IV GTC 1.6 CDTI Sport S&S,27000.0,93500,Schaltwagen,1364.0,Benzin+LPG,Słupca,Wielkopolskie,2015,9
volvo,Volvo V40 CC D3 Drive-E Summum,107500.0,212000,Automatik,1969.0,Diesel,Kielce,Świętokrzyskie,2017,7
volkswagen,Volkswagen Golf V 1.9 TDI Comfortline,11999.0,218000,Schaltwagen,1896.0,Diesel,Komorniki,Wielkopolskie,2008,16
opel,Opel Corsa,16500.0,142000,Schaltwagen,1598.0,Benzin,Bydgoszcz,Kujawsko-pomorskie,2008,16
volkswagen,Volkswagen CC 2.0 TSI DSG,64900.0,225500,Automatik,1395.0,Benzin,Szczyrk,Śląskie,2017,7
mercedes-benz,Mercedes-Benz GLC Coupe 300 4-Matic,174000.0,98000,Automatik,1950.0,Diesel,Daleszyce,Świętokrzyskie,2018,6
dacia,Dacia Sandero Stepway 1.6,23900.0,200000,Schaltwagen,1598.0,Benzin+LPG,Brzozów,Podkarpackie,2012,12
volkswagen,Volkswagen Passat 2.0 TDI BMT Comfortline,79900.0,118000,Schaltwagen,1968.0,Diesel,Libertów,Małopolskie,2018,6
seat,Seat Ibiza 1.0 TGI S&S Black Edition,22900.0,57020,Schaltwagen,999.0,Benzin,Ostrów Wielkopolski,Wielkopolskie,2018,6
renault,Renault Kangoo 1.5 dCi Zen,25900.0,190000,Schaltwagen,1997.0,Benzin,Wieliczka,Małopolskie,2011,13
opel,Opel Insignia 2.0 CDTI Cosmo,15300.0,162000,Schaltwagen,1796.0,Benzin,Wadowice,Małopolskie,2008,16
renault,Renault Grand Scenic,49900.0,101000,Schaltwagen,1461.0,Diesel,Węgierki,Wielkopolskie,2020,4
bmw,BMW M8 Competition,679900.0,9700,Automatik,1998.0,Benzin,Mikołów,Śląskie,2022,2
peugeot,Peugeot 3008,38000.0,195000,Automatik,1598.0,Benzin,Biała Podlaska,Lubelskie,2011,13
kia,Kia Rio 1.2 M,14900.0,260000,Schaltwagen,1248.0,Benzin+LPG,Września,Wielkopolskie,2014,10
bmw,BMW Seria 3,74000.0,136100,Automatik,1995.0,Diesel,Katowice,Śląskie,2018,6
opel,Opel Mokka,46900.0,223700,Schaltwagen,1364.0,Benzin,Janki,Mazowieckie,2011,13
nissan,Nissan X-Trail,36999.0,164500,Schaltwagen,1461.0,Diesel,Staszów,Świętokrzyskie,2010,14
volvo,Volvo XC 90 D5 AWD R-Design,258700.0,210219,Automatik,1969.0,Diesel,Wrocław,Dolnośląskie,2018,6
opel,Opel Mokka,41999.0,197654,Schaltwagen,1364.0,Benzin,Radom,Mazowieckie,2011,13
volkswagen,Volkswagen Passat 2.0 TDI BMT Comfortline DSG,62800.0,142835,Automatik,1968.0,Diesel,Skierniewice,Łódzkie,2016,8
ford,Ford Focus 1.0 EcoBoost Start-Stopp-System Titanium,24900.0,254000,Schaltwagen,1560.0,Diesel,Lublin,Lubelskie,2011,13
infiniti,Infiniti FX FX35,35000.0,214000,Automatik,3696.0,Benzin,Polkowice,Dolnośląskie,2009,15
volvo,Volvo XC 60,189900.0,100000,Automatik,1969.0,Diesel,Gaj,Małopolskie,2018,6
ford,Ford Focus,198700.0,5,Schaltwagen,998.0,Benzin,Rzeszów,Podkarpackie,2022,2
volvo,Volvo V50 T5 AWD Sport,20400.0,306699,Schaltwagen,1870.0,Diesel,Bielawa,Dolnośląskie,2004,20
toyota,Toyota Yaris 1.0 Premium,19400.0,239000,Schaltwagen,1998.0,Diesel,Koszalin,Zachodniopomorskie,2008,16
peugeot,Peugeot 208,19000.0,181450,Schaltwagen,1398.0,Diesel,Katowice,Śląskie,2014,10
chevrolet,Chevrolet Rezzo,5900.0,149000,Schaltwagen,1998.0,Benzin,Legnica,Dolnośląskie,2004,20
