# ungefähr 20 % der Original-Daten 
# Quelle: https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers/data
# nachbearbeitet
Marke,Modell,Preis [Zloty],Kilometerstand [km],Getriebe,Hubraum [cm3],Kraftstoff,Stadt,Region,Jahr,Alter
volvo,Volvo XC 60 T5 GPF R-Design,159900.0,100392,Automatik,1969.0,Diesel,Szczecin,Zachodniopomorskie,2019,5
hyundai,Hyundai i20 1.2 Comfort,21900.0,223247,Schaltwagen,1396.0,Diesel,Nowy Sącz,Małopolskie,2013,11
bmw,BMW Seria 3,49999.0,160258,Automatik,2993.0,Diesel,Zambrów,Podlaskie,2013,11
porsche,Porsche 911 Carrera Cabrio,135000.0,167000,Schaltwagen,2687.0,Benzin,Kraków,Małopolskie,2000,24
opel,Opel Vectra,4999.0,150000,Automatik,1598.0,Benzin,Katowice,Śląskie,1999,25
porsche,Porsche Boxster,164900.0,110000,Schaltwagen,2893.0,Benzin,Białystok,Podlaskie,2011,13
peugeot,Peugeot 3008,54000.0,183400,Schaltwagen,1560.0,Diesel,Bielany Wrocławskie,Dolnośląskie,2017,7
citroen,Citroën C4 Grand Picasso 1.2 PureTech Exclusive,43700.0,46363,Schaltwagen,1199.0,Benzin,Częstochowa,Śląskie,2018,6
peugeot,Peugeot 2008,119900.0,17303,Automatik,1598.0,hybrid,Stare Bielice,Zachodniopomorskie,2021,3
citroen,Citroën C3 BlueHDi 100 S&S SHINE,55700.0,5,Schaltwagen,1199.0,Benzin,Gniezno,Wielkopolskie,2023,1
toyota,Toyota Corolla,75900.0,50500,Schaltwagen,1496.0,Benzin,Marki,Mazowieckie,2020,4
ford,Ford C-MAX 1.6 TDCi Start-Stop-System Trend,17900.0,130000,Schaltwagen,1498.0,Diesel,Września,Wielkopolskie,2018,6
hyundai,Hyundai i40 1.7 CRDi BlueDrive Comfort,32999.0,122000,Schaltwagen,1396.0,Benzin,Brzesko,Małopolskie,2014,10
volkswagen,Volkswagen Multivan 6.1 2.0 TDI L1 Comfortline DSG,404547.0,51855,Automatik,1968.0,Diesel,Poznań,Wielkopolskie,2021,3
mercedes-benz,Mercedes-Benz Klasa A 180 Style,69800.0,179000,Schaltwagen,1461.0,Diesel,Gniezno,Wielkopolskie,2018,6
toyota,,77900.0,106100,Automatik,1798.0,hybrid,Piastów,Mazowieckie,2015,9
opel,Opel Astra,47750.0,173000,Schaltwagen,1598.0,Diesel,Kokoszkowy,Pomorskie,2017,7
volvo,Volvo XC 90 D5 AWD Inscription 7os,174999.0,170000,Automatik,1969.0,Diesel,Warszawa,Mazowieckie,2018,6
peugeot,Peugeot 206,6600.0,210500,Automatik,2946.0,Benzin+LPG,Kielce,Świętokrzyskie,2003,21
toyota,Toyota Land Cruiser,48000.0,244323,Automatik,2982.0,Diesel,Reda,Pomorskie,2003,21
renault,Renault Megane 1.5 dCi Expression,17500.0,153000,Schaltwagen,1997.0,Benzin,Wrocław,Dolnośląskie,2011,13
opel,Opel Corsa 1.2 16V Cosmo,18900.0,159000,Schaltwagen,1398.0,Benzin,Regulice,Małopolskie,2012,12
volkswagen,Volkswagen Tiguan Allspace 2.0 TDI 4Mot Elegance DSG 7os,252900.0,5,Automatik,1984.0,Benzin,Nowy Sącz,Małopolskie,2023,1
peugeot,Peugeot 307 CC 2.0,11900.0,112980,Automatik,1587.0,Benzin,Ostrów Wielkopolski,Wielkopolskie,2003,21
kia,Kia Rio,48900.0,72000,Schaltwagen,1591.0,Benzin,Myślenice,Małopolskie,2018,6
honda,Honda CR-V,67700.0,97480,Schaltwagen,1498.0,Benzin,Ostrołęka,Mazowieckie,2017,7
ford,Ford Fiesta 1.25 Silver X,30900.0,215000,Schaltwagen,1560.0,Diesel,Iwonicz,Podkarpackie,2012,12
honda,Honda CR-V,47900.0,157429,Schaltwagen,1997.0,Benzin,Lębork,Pomorskie,2010,14
citroen,Citroën C8,10000.0,119000,Schaltwagen,1124.0,Benzin,Kraków,Małopolskie,2003,21
volkswagen,Volkswagen Passat Alltrack 2.0 TDI BlueMotion Technology,38900.0,270000,Schaltwagen,1968.0,Diesel,Zakopane,Małopolskie,2010,14
opel,Opel Corsa 1.4 (ecoFLEX) Start/Stop Innovation,31700.0,143521,Schaltwagen,1598.0,Diesel,Białki,Mazowieckie,2018,6
volkswagen,Volkswagen Passat 2.0 TDI Comfortline DSG,19900.0,410000,Automatik,2461.0,Diesel,Ścinawa,Dolnośląskie,2008,16
infiniti,Infiniti Q50,114000.0,89986,Automatik,5600.0,Benzin,Tarnów,Małopolskie,2020,4
mercedes-benz,Mercedes-Benz Klasa B 180 Autotronic,24000.0,242000,Automatik,2143.0,Diesel,Nowy Targ,Małopolskie,2009,15
toyota,Toyota Prius 1.5 VVT-i Prestige,32999.0,83700,Automatik,3956.0,Benzin+LPG,Lublin,Lubelskie,2008,16
mercedes-benz,Mercedes-Benz GLE AMG Coupe 43 4-Matic,239000.0,153592,Automatik,4663.0,Benzin,Busko-Zdrój,Świętokrzyskie,2016,8
peugeot,Peugeot 108 VTI 68 Active,24000.0,157195,Schaltwagen,1560.0,Diesel,Warszawa,Mazowieckie,2017,7
volkswagen,Volkswagen Tiguan 1.5 TSI EVO,141900.0,1,Schaltwagen,999.0,Benzin,Kalisz,Wielkopolskie,2023,1
jaguar,Jaguar X-Type 3.0 High,16900.0,142000,Schaltwagen,2495.0,Benzin,Radom,Mazowieckie,2004,20
toyota,Toyota Avensis 1.8 Sol NAVI,48999.0,210000,Schaltwagen,1998.0,Diesel,Brańszczyk,Mazowieckie,2011,13
honda,Honda Civic 1.5 T Sport Plus (Navi),92000.0,28940,Schaltwagen,1339.0,Benzin,Nowy Sącz,Małopolskie,2016,8
volkswagen,Volkswagen T-Roc 1.5 TSI R-Line DSG,166200.0,10,Automatik,1498.0,Benzin,Łódź,Łódzkie,2023,1
ford,Ford Mondeo 1.8 TDCi Gold X,14900.0,212400,Schaltwagen,1999.0,Benzin+LPG,Kraków,Małopolskie,2009,15
alfa-romeo,Alfa Romeo 159 2.4 JTDM 20V DPF Q-Tronic Turismo,24900.0,334000,Automatik,1910.0,Diesel,Warszawa,Mazowieckie,2006,18
bmw,BMW Seria 4 435i M Sport,96000.0,184000,Automatik,2979.0,Benzin,Wrocław,Dolnośląskie,2012,12
hyundai,Hyundai i40 i40cw 1.7 CRDi 5 Star Edition,38000.0,179000,Schaltwagen,1248.0,Benzin,Malbork,Pomorskie,2010,14
mercedes-benz,Mercedes-Benz Klasa G 320,55500.0,153000,Automatik,4973.0,Benzin,Głogoczów,Małopolskie,1997,27
opel,Opel Insignia,66998.0,96000,Automatik,,Benzin,Sosnowiec,Śląskie,2016,8
smart,Smart Forfour passion,10700.0,156000,Schaltwagen,1332.0,Benzin,Żary,Lubuskie,2006,18
mini,MINI Cooper S,29200.0,226000,Automatik,1598.0,Benzin,Gdynia,Pomorskie,2005,19
kia,Kia XCeed 1.5 T-GDI M,96900.0,37035,Schaltwagen,1598.0,Diesel,Nowy Sącz,Małopolskie,2021,3
land-rover,Land Rover Discovery IV 2.7D V6 HSE,64900.0,269000,Automatik,2179.0,Diesel,Białystok,Podlaskie,2013,11
volkswagen,Volkswagen Polo 1.4 TDI Comfortline,11300.0,104228,Schaltwagen,1395.0,Benzin,Bielsko-Biała,Śląskie,2016,8
volkswagen,Volkswagen Touran 2.0 TDI DPF DSG Trendline,15900.0,270000,Automatik,1896.0,Diesel,Kutno,Łódzkie,2005,19
toyota,Toyota Verso 1.6 Active,45800.0,235000,Schaltwagen,1998.0,Diesel,Wojnów,Świętokrzyskie,2011,13
mercedes-benz,Mercedes-Benz CLS 320 CDI,39900.0,355000,Automatik,2987.0,Diesel,Augustów,Podlaskie,2007,17
kia,Kia Sportage 1.6 T-GDI M 2WD,117900.0,54877,Schaltwagen,1591.0,Benzin,Gaj,Małopolskie,2020,4
opel,Opel Insignia 2.0 CDTI Cosmo,25900.0,99383,Schaltwagen,1364.0,Benzin,Staszów,Świętokrzyskie,2014,10
peugeot,Peugeot 207 1.4 HDi Trendy,13000.0,199200,Schaltwagen,1598.0,Benzin,Pruszków,Mazowieckie,2011,13
jeep,Jeep Grand Cherokee Gr 3.6 V6 Overland,119000.0,24828,Automatik,6166.0,Benzin,Tarnów,Małopolskie,2020,4
volkswagen,Volkswagen Tiguan Allspace 2.0 TDI 4Mot SCR Highline DSG,155900.0,176778,Automatik,2967.0,Diesel,Mysłowice,Śląskie,2015,9
ford,Ford C-MAX 1.5 TDCi Edition,47800.0,202200,Schaltwagen,1997.0,Diesel,Kęty,Małopolskie,2017,7
volvo,Volvo S40,28900.0,191000,Schaltwagen,1560.0,Diesel,Lipno,Kujawsko-pomorskie,2013,11
opel,Opel Meriva 1.3 CDTI Enjoy,8900.0,215000,Schaltwagen,1598.0,Benzin,Wejherowo,Pomorskie,2008,16
bmw,BMW X5 xDrive30d Sport-Aut,199000.0,139000,Automatik,1995.0,Diesel,Warszawa,Mazowieckie,2016,8
nissan,Nissan Micra 1.2 Art,6299.0,215000,Schaltwagen,2953.0,Diesel,Lisowola,Mazowieckie,2003,21
nissan,Nissan Juke 1.0 DIG-T N-Connecta,76400.0,93000,Schaltwagen,1332.0,Benzin,Białystok,Podlaskie,2020,4
volkswagen,Volkswagen Passat 2.0 TDI BMT Comfortline,36999.0,274516,Schaltwagen,1968.0,Diesel,Kalisz,Wielkopolskie,2016,8
nissan,Nissan Almera,3999.0,300000,Schaltwagen,1998.0,Benzin+LPG,Grodziec,Śląskie,2004,20
saab,Saab 9-3,16700.0,303000,Automatik,2962.0,Benzin+LPG,Radom,Mazowieckie,2002,22
renault,Renault Megane,18900.0,264072,Schaltwagen,1995.0,Diesel,Czarnków,Wielkopolskie,2013,11
opel,Opel Corsa,32900.0,255300,Schaltwagen,1598.0,Diesel,Pszczyna,Śląskie,2015,9
volkswagen,Volkswagen Passat Variant 2.0 TDI SCR 4Motion DSG Highline,69999.0,84214,Automatik,1395.0,Benzin,Elbląg,Warmińsko-mazurskie,2015,9
bmw,BMW X7 xDrive40d mHEV M Sport sport,599000.0,27000,Automatik,2993.0,Diesel,Radzymin,Mazowieckie,2021,3
opel,Opel Combo,67800.0,109000,Schaltwagen,1598.0,Diesel,Bydgoszcz,Kujawsko-pomorskie,2018,6
toyota,Toyota Avensis,71799.0,81000,Schaltwagen,998.0,Benzin,Łajski,Mazowieckie,2018,6
volvo,Volvo V60 D3 Drive-E Momentum,49900.0,2018,Schaltwagen,1969.0,Diesel,Rawa Mazowiecka,Łódzkie,2018,6
kia,Kia Rio,30000.0,156247,Schaltwagen,1685.0,Diesel,Tarnów,Małopolskie,2015,9
kia,Kia Ceed 1.4 S,45990.0,92000,Schaltwagen,1591.0,Benzin,Chodzież,Wielkopolskie,2015,9
skoda,Skoda Scala 1.5 TSI Monte Carlo,122200.0,7,Schaltwagen,1498.0,Benzin,Dzierżoniów,Dolnośląskie,2023,1
opel,Opel Mokka,153000.0,68000,Automatik,1199.0,Benzin,Piła,Wielkopolskie,2020,4
volvo,Volvo C70 2.4D5 Summum,27900.0,325000,Automatik,4414.0,Benzin+LPG,Płock,Mazowieckie,2005,19
opel,Opel Zafira Tourer 1.4 Turbo Automatik Innovation,65900.0,183000,Automatik,1598.0,Diesel,Sosnowiec,Śląskie,2018,6
